Car_Name,Year,Selling_Price,Driven_KMs,Fuel_Type,Transmission,Engine_Size_L,Mileage_kmpl
Mercedes-Benz GLE,2022,3266122.16,52618,Diesel,Automatic,2.4,14.7
BMW 3 Series,2019,2012939.08,82405,Diesel,Manual,2.8,11.3
Hyundai Tucson,2010,120000.0,190804,CNG,Automatic,1.4,26.0
Honda Accord,2022,790401.72,44723,Diesel,Automatic,1.5,12.6
Ford EcoSport,2013,316090.48,109366,Petrol,Automatic,1.6,13.4
Tata Punch,2023,429121.37,41268,Diesel,Manual,1.0,13.0
Toyota Corolla,2014,287108.51,"108,297 km",Petrol,Manual,1.7,15.2
Mercedes-Benz C-Class,2015,1284362.42,182934,Petrol,Manual,2.9,12.1
Audi Q3,2010,703236.83,244030,Diesel,Manual,3.1,12.5
Volkswagen Vento,2020,471470.29,122178,Petrol,Automatic,1.2,12.0
Mercedes-Benz A-Class,2022,3046559.87,44531,Diesel,Manual,2.4,15.5
Ford Endeavour,2014,518493.06,82230,Electric,Manual,0.0,162.5
BMW 3 Series,2017,1700501.99,39581,Petrol,Automatic,2.6,13.6
Toyota Yaris,2024,779353.7,25273,Hybrid,Manual,1.0,21.8
Toyota RAV4,2009,150991.19,276219,Diesel,Manual,2.1,12.4
BMW X5,2009,370843.21,142231,Diesel,Manual,2.1,14.0
Ford Endeavour,2010,287593.52,56106,CNG,Manual,2.8,26.8
Volkswagen Tiguan,2014,264518.16,213979,Diesel,Automatic,1.7,14.0
BMW 1 Series,2016,1380015.69,128305,Petrol,Automatic,2.6,10.3
Hyundai Creta,2010,147417.69,174319,Hybrid,Manual,1.8,22.4
Ford Mustang,2011,274249.07,248712,Petrol,Manual,3.0,11.9
Hyundai Venue,2015,211646.1,"237,744 km",  Diesel ,Automatic,1.5,12.2
Hyundai Tucson,2010,120000.0,205708,Diesel,Manual,1.5,14.3
Hyundai Tucson,2008,120000.0,173541,Petrol,Manual,1.0,9.4
Volkswagen Vento,2010,155593.94,129782,Diesel,Manual,1.5,16.1
Mercedes-Benz A-Class,2017,1922882.3,143487,CNG,Automatic,3.1,25.7
Hyundai Tucson,2009,120000.0,163245,Petrol,Automatic,1.5,13.7
Ford EcoSport,2013,345354.62,197416,Petrol,Manual,2.5,13.4
Ford Endeavour,2015,363136.29,135869,Diesel,Automatic,1.6,16.5
BMW 5 Series,2016,1101570.36,120116,Diesel,Manual,2.4,12.6
Tata Punch,2008,120000.0,273448,Hybrid,Automatic,2.1,20.8
Tata Punch,2021,308306.68,"75,233 km",Petrol,Manual,1.3,12.4
BMW 5 Series,2017,1759634.49,141479,Electric,Automatic,0.0,168.3
Honda Civic,2019,490917.12,126498,Petrol,Automatic,1.5,12.7
Toyota Camry,2018,442450.77,77523,Petrol,Manual,1.6,11.8
Ford EcoSport,2020,1380839.77,81027,Electric,Manual,0.0,115.7
Maruti Suzuki Dzire  ,2024,609480.64,14210,Diesel,Manual,1.6,
Mercedes-Benz C-Class,2010,354395.4,265211,Petrol,Automatic,1.8,13.8
Toyota Fortuner,2019,664756.6,79948,Hybrid,Automatic,1.6,
BMW X3,2019,1914884.69,106216,Petrol,Automatic,2.5,9.6
Volkswagen Taigun  ,2010,222414.77,"265,874 km",Electric,Manual,0.0,164.1
BMW 1 Series,2012,901217.54,181268,Petrol,Automatic,,6.5
Hyundai Venue,2019,413579.3,80476,Diesel,Manual,1.4,15.1
Tata Altroz,2024,779643.7,32079,Petrol,Manual,1.7,12.7
